Domaine d'intervention;STRUCTURE PORTEUSE;ESPACE/LIEUX/SERVICE;ADRESSE;CP;VILLE;INTITULE ACTION;Coordonnées Référent;DESCRIPTION;METHODE ET OUTILS;MODE D'INTERVENTION;PUBLIC CIBLE;SITE INTERNET
ADMINISTRATION EN LIGNE;CCAS;POLE SOCIAL;18 rue Georges AUBIN;04000;Digne Les Bains;;Tel : 04 92 36 07 08              Mail : marc.roux@dignelesbains.fr;Accompagnement aux déclarations en ligne des allocatires du RSA (CAF.fr) et des demandeurs d’emploi (pôle emploi.fr), avec ou sans les conseillers CAF et pôle emploi.;Ordinateurs et tablettes numériques;Ateliers collectifs et Accompagnements individuels;Allocataires du RSA et Demandeurs d'emploi ;http://www.dignelesbains.fr/solidarite/
ADMINISTRATION EN LIGNE;CCAS;POLE SOCIAL;18 rue Georges AUBIN;04000;Digne Les Bains;;Tel : 04 92 36 07 08              Mail : marc.roux@dignelesbains.fr;Accompagnement, avec et sans les partenaires, pour l'apprentissage et la réalisation de démarches administratives en ligne.;Ordinateurs et tablettes numériques;Ateliers collectifs et Accompagnements individuels;Tout public, avec une priorité au public précaire et/ou en fracture numérique;http://www.dignelesbains.fr/solidarite/
ACCULTURATION ET EDUCATION AU NUMERIQUE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04000;Digne Les Bains;Ateliers périscolaires;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;Education à l’image, la sensibilisation à la musique assistée par ordinateur et au traitement du son,  le montage vidéo et la création de diaporamas. Ils permettent d’aborder les notions de « droits d’auteur », de « creative commons », de « mash up »...;Ordinateurs équipés de logiciels de traitement de l’image, du son et vidéo / tablettes IPAD et applications/ appareil photographique numérique;Activité et stage de loisir, sous la forme de 2 ateliers hebdomadaires de 1h, le mercredi matin, animé par une animatrice.;Enfants âgés de 6 à 10 ans;http://www.lumen.dignelesbains.fr/
ART, CULTURE ET PATRIMOINE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04000;Digne Les Bains;OPPOSITE ;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;OPPOSITE est une installation numérique, « un astrolabe tactile et ludique » croisant création numérique et culture scientifique sur les forces d’attractions et de répulsions qui animent le monde physique des atomes et des corps célestes.;Exposition;Manifestation;Tout public / Scolaires;http://www.lumen.dignelesbains.fr/
ART, CULTURE ET PATRIMOINE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04000;Digne Les Bains;Atelier de codage créatif;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;"Avec un intervenant artistique : Frédéric Alemany.
Thème : « la musique du système solaire », initiation à la programmation graphique et sonore en lien avec une exposition « OPPOSITE »
";Atelier / logiciel libre de programmation : pure data.;Activité et stage de loisir;Tout public;http://www.lumen.dignelesbains.fr/
ART, CULTURE ET PATRIMOINE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04000;Digne Les Bains;Ateliers de création numérique ;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;Le montage sonore et la création musicale, le montage photographique, et la création graphique, l’élaboration de contenus pour des œuvres participatives, l’élaboration de films en stop-motion.;Pédagogie active/ logiciels spécialisés (Suite Adobe, Reaper, Pinnacle studio plus…)/ utilisation de supports d’initiation.;Activité et stage de loisir sous la forme d’un atelier hebdomadaire;8-18 ans, plus précisément préado / ado;http://www.lumen.dignelesbains.fr/
ACCULTURATION ET EDUCATION AU NUMERIQUE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04000;Digne Les Bains;Ateliers d’initiation numérique;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;La recherche d’informations sur internet, les usages d’une messagerie électronique, le traitement de texte, le traitement de l’image,l’ utilisation de matériel tel tablettes tactiles.;Ateliers d’initiation/support d’initiation;Activité et stage de loisir sous la forme d’un atelier hebdomadaire;Tout public/seniors;http://www.lumen.dignelesbains.fr/
ART, CULTURE ET PATRIMOINE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04000;Digne Les Bains;Ateliers  de création numérique;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;A l’intention des accueils de loisirs, dans le cadre de manifestation nationales telles : printemps des poètes, dis moi dix mots, semaine du son…;Ateliers participatifs;Activité et stage de loisir ;Enfants âgés de 6 à 12 ans;http://www.lumen.dignelesbains.fr/
MISE A DISPOSITION D'ESPACES, DE MATERIELS ET DE RESSOURCES NUMERIQUES;Médiathèque de Barcelonnette;;Place Gilles de Gennes;04400;Barcelonnette;CyberAdulte;Tel: 04 92 81 51 65 Mail: multi-media@ville-barcelonnette.fr;;Tous les outils numériques de la médiathèque sont mis en disposition des usagers (Tablettes sous androïd, liseuses, pc sous linux ou windows) et ces derniers peuvent venir avec leur matériel (wifi dans l'établissement).;L'animatrice Multimédia sensibilise tous les publics;18 ans +;http://www.mediatheques-ubaye.net/
ACCULTURATION ET EDUCATION AU NUMERIQUE;Médiathèque de Barcelonnette;;Place Gilles de Gennes;04400;Barcelonnette;CyberAdos;Tel: 04 92 81 51 65 Mail: multi-media@ville-barcelonnette.fr;S'approprier un environnement informatique de travail. Créer, produire, traiter, exploiter des données. Communiquer, échanger. S'informer, se documenter. ;;;11- 18 ans;http://www.mediatheques-ubaye.net/
