nom,adresse,arrond,Description de la zone couverte,Type de zone,Type de lieu,Nombre d'antennes,Nombre d'acc�s simultan�s,service,Date de mise en service,Numero,long,lat
Cite des Associations,La canebiere,13001,Salle du 1 etage,Int�rieur,Batiment municipal,1,29,OUI,31/01/2012 00:00,12,5.3820077249,43.2983469344
Bibliotheque Alcazar,58 cours Belsunce,13001,Salle du 3 etage,Int�rieur,Bibliotheque,1,29,OUI,10/02/2012 00:00,5,5.3768197433,43.2989416661
Esplanade Bargemon,quai du port,13002,Place publique,Ext�rieur,Place publique,2,29,OUI,16/01/2012 00:00,1,5.3698577452,43.2968221637
Espace Museal Bargemon,quai du port,13002,Espace d'exposition,Int�rieur,Batiment municipal,1,30,OUI,,2,5.3702404626,43.2969907647
Office du tourisme,11 la canebiere,13001,Interieur et exterieur,Mixte,Batiment municipal,1,30,OUI,04/03/2013 00:00,3,5.3762078287,43.296057193
La vieille charite,2 rue de la charite,13002,Billeterie et cafeteria,Mixte,Musee,1,30,OUI,15/12/2012 00:00,13,5.3679892875,43.3002467509
Museum d'histoires naturelles,boulevard Longchamp,13004,Salle du 1 etage,Int�rieur,Musee,1,30,OUI,18/06/2013 00:00,19,5.3945648118,43.3038920871
Musee des beaux arts,boulevard Longchamp,13004,Accueil du musee,Int�rieur,Musee,1,30,OUI,11/06/2013 00:00,15,5.3940382719,43.3045101832
Bibliotheque des 5 avenues,impasse Fissiaux,13004,Salle,Int�rieur,Bibliotheque,1,30,OUI,03/06/2013 00:00,7,5.3963906636,43.3019969415
Esplanade du Parc Longchamp,boulevard du jardin zoologique,13004,Parc,Ext�rieur,Parc et jardin,2,,OUI,15/02/2013 00:00,26,5.3964852356,43.3056930047
Mairie 4/5,13 square Sidi Brahim,13005,Interieur de la mairie,Mixte,Mairie de secteur,1,,NON,,33,5.3990313055,43.2975991812
Mairie 11/12,avenue Boulaya d'Arnaud,13012,Interieur de la mairie,Int�rieur,Mairie de secteur,1,,NON,,37,5.4433308848,43.2975528017
Parc de la Moline,avenue de Montolivet,13012,Devant la bastide,Ext�rieur,Parc et jardins,1,30,OUI,15/12/2012 00:00,27,5.4240088569,43.3141781392
Parc Pastre,157 avenue de Montredon,13008,Devant le batiment,Ext�rieur,Parc et jardins,1,30,OUI,15/12/2012 00:00,28,5.3668062307,43.239736885
Bibliotheque de Bonneveine,Centre Vie de Bonneveine,13008,Salle,Int�rieur,Bibliotheque,2,30,OUI,15/05/2013 00:00,6,5.3887102169,43.2491639287
Musee d'Art Contemporain,69 avenue d'Haifa,13008,Accueil et cafeteria,Int�rieur,Musee,1,29,OUI,25/09/2012 00:00,14,5.3899713203,43.2506589524
Musee Borely,134 avenue Clot-Bey,13008,Billetterie et cafeteria,Int�rieur,Musee,1,30,OUI,04/06/2013 00:00,16,5.3820612761,43.2572941072
